GTOD,GATG,GHTG,SESI,SGNM,SEWN,GDAT,SEST,SEWT,,,
750,44,25,0,4,9,2,0,9,,Louisville,ECU
750,46,113,0,5,9,2,0,9,,Marshall,Western Michigan
750,75,111,0,6,9,2,0,9,,Oregon State,Washington State
750,115,81,0,7,9,2,0,9,,Wyoming,San Diego State
750,95,10,0,8,9,2,0,9,,Toledo,Ball State
750,88,77,0,9,9,2,0,9,,Syracuse,Pittsburgh
930,62,21,0,10,9,2,0,9,,North Carolina,Clemson
930,144,85,0,11,9,2,0,9,,USF,Southern Miss
930,50,41,0,12,9,2,0,9,,Miami University,Kent State
930,78,51,0,13,9,2,0,9,,Purdue,Michigan
930,19,18,0,14,9,2,0,9,,Central Michigan,UCF
930,72,93,0,15,9,2,0,9,,Oklahoma State,Texas A&M
930,89,33,0,16,9,2,0,9,,TCU,Houston
930,39,40,0,17,9,2,0,9,,Kansas,Kansas State
930,4,17,0,18,9,2,0,9,,Arizona,Cal
930,91,3,0,19,9,2,0,9,,Tennessee,Alabama
930,64,53,0,20,9,2,0,9,,North Texas,Mid Tenn State
930,92,11,0,21,9,2,0,9,,Texas,Baylor
930,94,56,0,22,9,2,0,9,,Texas Tech,Missouri
930,105,32,0,23,9,2,0,9,,UTEP,Hawaii
930,43,59,0,24,9,2,0,9,,Louisiana Tech,Nevada
930,82,12,0,25,9,2,0,9,,San Jose State,Boise State
930,177,57,0,26,9,2,0,9,,Delaware,Navy
930,69,15,0,27,9,2,0,9,,Ohio,Buffalo
1080,60,103,0,28,9,2,0,9,,New Mexico,Utah
1080,98,30,0,29,9,2,0,9,,UAB,Georgia
1080,71,22,0,30,9,2,0,9,,Oklahoma,Colorado
1080,6,73,0,31,9,2,0,9,,Arkansas,Ole Miss
1080,76,37,0,32,9,2,0,9,,Penn State,Iowa
1080,54,35,0,33,9,2,0,9,,Minnesota,Illinois
1080,8,20,0,34,9,2,0,9,,Army,Cincinnati
1080,5,99,0,35,9,2,0,9,,Arizona State,UCLA
1080,68,13,0,36,9,2,0,9,,Notre Dame,Boston College
1080,9,45,0,37,9,2,0,9,,Auburn,LSU
1080,106,84,0,38,9,2,0,9,,Vanderbilt,South Carolina
1080,143,107,0,39,9,2,0,9,,Troy,Virginia
1080,79,29,0,40,9,2,0,9,,Rice,Fresno State
1200,2,100,0,41,9,2,0,9,,Akron,Connecticut
1200,83,97,0,42,9,2,0,9,,SMU,Tulsa
1200,38,58,0,43,9,2,0,9,,Iowa State,Nebraska
1200,70,36,0,44,9,2,0,9,,Ohio State,Indiana
1200,48,96,0,45,9,2,0,9,,Memphis,Tulane
1200,7,104,0,46,9,2,0,9,,Arkansas State,Utah State
1200,16,101,0,47,9,2,0,9,,BYU,UNLV
1200,102,110,0,48,9,2,0,9,,USC,Washington
1200,114,67,0,49,9,2,0,9,,Wisconsin,Northwestern
1200,34,86,0,50,9,2,0,9,,Idaho,UL Lafayette
1200,80,90,0,51,9,2,0,9,,Rutgers,Temple
1200,61,65,0,52,9,2,0,9,,New Mexico State,UL Monroe
1200,63,24,0,53,9,2,0,9,,NC State,Duke
1200,109,28,0,54,9,2,0,9,,Wake Forest,Florida State
1170,12,16,0,0,10,1,0,10,,Boise State,BYU
750,103,1,0,1,10,2,0,10,,Utah,Air Force
750,53,104,0,2,10,2,0,10,,Mid Tenn State,Utah State
750,10,66,0,3,10,2,0,10,,Ball State,Northern Illinois
750,11,40,0,4,10,2,0,10,,Baylor,Kansas State
750,96,57,0,5,10,2,0,10,,Tulane,Navy
750,20,144,0,6,10,2,0,10,,Cincinnati,USF
750,6,42,0,7,10,2,0,10,,Arkansas,Kentucky
750,43,45,0,8,10,2,0,10,,Louisiana Tech,LSU
750,23,115,0,9,10,2,0,10,,Colorado State,Wyoming
750,67,78,0,10,10,2,0,10,,Northwestern,Purdue
930,62,47,0,11,10,2,0,10,,North Carolina,Maryland
930,24,91,0,12,10,2,0,10,,Duke,Tennessee
930,86,85,0,13,10,2,0,10,,UL Lafayette,Southern Miss
930,74,110,0,14,10,2,0,10,,Oregon,Washington
930,72,71,0,15,10,2,0,10,,Oklahoma State,Oklahoma
930,21,109,0,16,10,2,0,10,,Clemson,Wake Forest
930,77,13,0,17,10,2,0,10,,Pittsburgh,Boston College
930,4,75,0,18,10,2,0,10,,Arizona,Oregon State
930,30,27,0,19,10,2,0,10,,Georgia,Florida
930,7,61,0,20,10,2,0,10,,Arkansas State,New Mexico State
930,101,60,0,21,10,2,0,10,,UNLV,New Mexico
930,35,37,0,22,10,2,0,10,,Illinois,Iowa
930,39,93,0,23,10,2,0,10,,Kansas,Texas A&M
930,25,48,0,24,10,2,0,10,,ECU,Memphis
1080,28,68,0,25,10,2,0,10,,Florida State,Notre Dame
1080,22,94,0,26,10,2,0,10,,Colorado,Texas Tech
1080,107,63,0,27,10,2,0,10,,Virginia,NC State
1080,29,83,0,28,10,2,0,10,,Fresno State,SMU
1080,70,76,0,29,10,2,0,10,,Ohio State,Penn State
1080,36,54,0,30,10,2,0,10,,Indiana,Minnesota
1080,32,82,0,31,10,2,0,10,,Hawaii,San Jose State
1080,8,98,0,32,10,2,0,10,,Army,UAB
1080,38,56,0,33,10,2,0,10,,Iowa State,Missouri
1080,17,5,0,34,10,2,0,10,,Cal,Arizona State
1080,99,87,0,35,10,2,0,10,,UCLA,Stanford
1080,111,102,0,36,10,2,0,10,,Washington State,USC
1080,26,19,0,37,10,2,0,10,,Eastern Michigan,Central Michigan
1080,84,73,0,38,10,2,0,10,,South Carolina,Ole Miss
1080,15,95,0,39,10,2,0,10,,Buffalo,Toledo
1080,59,79,0,40,10,2,0,10,,Nevada,Rice
1080,65,9,0,41,10,2,0,10,,UL Monroe,Auburn
1170,49,108,0,42,10,2,0,10,,Miami,Virginia Tech
1200,18,112,0,43,10,2,0,10,,UCF,West Virginia
1200,143,64,0,44,10,2,0,10,,Troy,North Texas
1200,58,92,0,45,10,2,0,10,,Nebraska,Texas
1200,113,100,0,46,10,2,0,10,,Western Michigan,Connecticut
1200,97,105,0,47,10,2,0,10,,Tulsa,UTEP
1200,2,46,0,48,10,2,0,10,,Akron,Marshall
1200,51,52,0,49,10,2,0,10,,Michigan,Michigan State
930,14,50,0,50,10,5,0,10,,Bowling Green,Miami University
1080,44,89,0,51,10,5,0,10,,Louisville,TCU
1260,23,60,0,0,11,1,0,11,,Colorado State,New Mexico
750,56,22,0,1,11,2,0,11,,Missouri,Colorado
750,64,65,0,2,11,2,0,11,,North Texas,UL Monroe
750,81,101,0,3,11,2,0,11,,San Diego State,UNLV
750,96,98,0,4,11,2,0,11,,Tulane,UAB
750,93,71,0,5,11,2,0,11,,Texas A&M,Oklahoma
750,28,21,0,6,11,2,0,11,,Florida State,Clemson
750,97,79,0,7,11,2,0,11,,Tulsa,Rice
750,92,72,0,8,11,2,0,11,,Texas,Oklahoma State
750,66,15,0,9,11,2,0,11,,Northern Illinois,Buffalo
750,75,102,0,10,11,2,0,11,,Oregon State,USC
750,104,61,0,11,11,2,0,11,,Utah State,New Mexico State
930,8,1,0,12,11,2,0,11,,Army,Air Force
930,57,68,0,13,11,2,0,11,,Navy,Notre Dame
930,53,34,0,14,11,2,0,11,,Mid Tenn State,Idaho
930,114,54,0,15,11,2,0,11,,Wisconsin,Minnesota
930,184,20,0,16,11,2,0,11,,Rhode Island,Cincinnati
930,99,111,0,17,11,2,0,11,,UCLA,Washington State
930,144,25,0,18,11,2,0,11,,USF,ECU
930,106,27,0,19,11,2,0,11,,Vanderbilt,Florida
930,110,4,0,20,11,2,0,11,,Washington,Arizona
930,2,19,0,21,11,2,0,11,,Akron,Central Michigan
1080,5,87,0,22,11,2,0,11,,Arizona State,Stanford
1080,85,33,0,23,11,2,0,11,,Southern Miss,Houston
1080,108,77,0,24,11,2,0,11,,Virginia Tech,Pittsburgh
1080,35,36,0,25,11,2,0,11,,Illinois,Indiana
1080,82,105,0,26,11,2,0,11,,San Jose State,UTEP
1080,17,74,0,27,11,2,0,11,,Cal,Oregon
1080,73,9,0,28,11,2,0,11,,Ole Miss,Auburn
1080,58,39,0,29,11,2,0,11,,Nebraska,Kansas
1080,3,55,0,30,11,2,0,11,,Alabama,Mississippi State
1200,76,67,0,31,11,2,0,11,,Penn State,Northwestern
1200,18,26,0,32,11,2,0,11,,UCF,Eastern Michigan
1200,10,113,0,33,11,2,0,11,,Ball State,Western Michigan
1200,94,11,0,34,11,2,0,11,,Texas Tech,Baylor
1200,31,24,0,35,11,2,0,11,,Georgia Tech,Duke
1200,52,70,0,36,11,2,0,11,,Michigan State,Ohio State
1200,29,59,0,37,11,2,0,11,,Fresno State,Nevada
1200,40,38,0,38,11,2,0,11,,Kansas State,Iowa State
1200,112,13,0,39,11,2,0,11,,West Virginia,Boston College
1200,41,69,0,40,11,2,0,11,,Kent State,Ohio
1200,37,78,0,41,11,2,0,11,,Iowa,Purdue
1200,90,88,0,42,11,2,0,11,,Temple,Syracuse
1200,84,6,0,43,11,2,0,11,,South Carolina,Arkansas
1200,91,49,0,44,11,2,0,11,,Tennessee,Miami
1200,109,62,0,45,11,2,0,11,,Wake Forest,North Carolina
1200,80,100,0,46,11,2,0,11,,Rutgers,Connecticut
1200,83,43,0,47,11,2,0,11,,SMU,Louisiana Tech
1410,86,7,0,48,11,2,0,11,,UL Lafayette,Arkansas State
750,46,50,0,49,11,6,0,11,,Marshall,Miami University
1170,107,47,0,0,12,0,0,12,,Virginia,Maryland
750,22,38,0,1,12,2,0,12,,Colorado,Iowa State
750,61,6,0,2,12,2,0,12,,New Mexico State,Arkansas
750,78,70,0,3,12,2,0,12,,Purdue,Ohio State
750,36,76,0,4,12,2,0,12,,Indiana,Penn State
750,87,75,0,5,12,2,0,12,,Stanford,Oregon State
930,27,84,0,6,12,2,0,12,,Florida,South Carolina
930,93,56,0,7,12,2,0,12,,Texas A&M,Missouri
930,52,114,0,8,12,2,0,12,,Michigan State,Wisconsin
930,24,21,0,9,12,2,0,12,,Duke,Clemson
930,41,14,0,10,12,2,0,12,,Kent State,Bowling Green
930,11,71,0,11,12,2,0,12,,Baylor,Oklahoma
930,96,85,0,12,12,2,0,12,,Tulane,Southern Miss
930,63,28,0,13,12,2,0,12,,NC State,Florida State
930,74,99,0,14,12,2,0,12,,Oregon,UCLA
930,1,60,0,15,12,2,0,12,,Air Force,New Mexico
930,108,90,0,16,12,2,0,12,,Virginia Tech,Temple
930,105,12,0,17,12,2,0,12,,UTEP,Boise State
930,102,4,0,18,12,2,0,12,,USC,Arizona
930,39,72,0,19,12,2,0,12,,Kansas,Oklahoma State
930,45,3,0,20,12,2,0,12,,LSU,Alabama
930,48,44,0,21,12,2,0,12,,Memphis,Louisville
930,110,17,0,22,12,2,0,12,,Washington,Cal
1080,81,23,0,23,12,2,0,12,,San Diego State,Colorado State
1080,10,26,0,24,12,2,0,12,,Ball State,Eastern Michigan
1080,16,68,0,25,12,2,0,12,,BYU,Notre Dame
1080,88,49,0,26,12,2,0,12,,Syracuse,Miami
1080,115,103,0,27,12,2,0,12,,Wyoming,Utah
1080,34,65,0,28,12,2,0,12,,Idaho,UL Monroe
1080,20,89,0,29,12,2,0,12,,Cincinnati,TCU
1080,42,106,0,30,12,2,0,12,,Kentucky,Vanderbilt
1080,77,112,0,31,12,2,0,12,,Pittsburgh,West Virginia
1080,33,8,0,32,12,2,0,12,,Houston,Army
1080,94,92,0,33,12,2,0,12,,Texas Tech,Texas
1080,32,59,0,34,12,2,0,12,,Hawaii,Nevada
1200,79,83,0,35,12,2,0,12,,Rice,SMU
1200,13,80,0,36,12,2,0,12,,Boston College,Rutgers
1200,7,64,0,37,12,2,0,12,,Arkansas State,North Texas
1200,40,58,0,38,12,2,0,12,,Kansas State,Nebraska
1200,54,37,0,39,12,2,0,12,,Minnesota,Iowa
1200,55,91,0,40,12,2,0,12,,Mississippi State,Tennessee
1200,19,113,0,41,12,2,0,12,,Central Michigan,Western Michigan
1200,43,97,0,42,12,2,0,12,,Louisiana Tech,Tulsa
1200,66,95,0,43,12,2,0,12,,Northern Illinois,Toledo
1200,143,104,0,44,12,2,0,12,,Troy,Utah State
1200,5,111,0,45,12,2,0,12,,Arizona State,Washington State
1200,100,109,0,46,12,2,0,12,,Connecticut,Wake Forest
1200,62,31,0,47,12,2,0,12,,North Carolina,Georgia Tech
1200,86,53,0,48,12,2,0,12,,UL Lafayette,Mid Tenn State
1200,69,2,0,49,12,2,0,12,,Ohio,Akron
1200,82,29,0,50,12,2,0,12,,San Jose State,Fresno State
1200,51,67,0,51,12,2,0,12,,Michigan,Northwestern
1200,9,30,0,52,12,2,0,12,,Auburn,Georgia
930,46,18,0,53,12,6,0,12,,Marshall,UCF
1080,98,144,0,0,13,0,0,13,,UAB,USF
1170,89,85,0,1,13,0,0,13,,TCU,Southern Miss
1200,4,5,0,2,13,0,0,13,,Arizona,Arizona State
1260,12,29,0,3,13,1,0,13,,Boise State,Fresno State
750,72,11,0,4,13,2,0,13,,Oklahoma State,Baylor
750,104,34,0,5,13,2,0,13,,Utah State,Idaho
750,76,52,0,6,13,2,0,13,,Penn State,Michigan State
750,42,30,0,7,13,2,0,13,,Kentucky,Georgia
750,105,79,0,8,13,2,0,13,,UTEP,Rice
750,80,49,0,9,13,2,0,13,,Rutgers,Miami
750,56,40,0,10,13,2,0,13,,Missouri,Kansas State
930,111,110,0,11,13,2,0,13,,Washington State,Washington
930,77,90,0,12,13,2,0,13,,Pittsburgh,Temple
930,75,74,0,13,13,2,0,13,,Oregon State,Oregon
930,8,32,0,14,13,2,0,13,,Army,Hawaii
930,106,91,0,15,13,2,0,13,,Vanderbilt,Tennessee
930,99,102,0,16,13,2,0,13,,UCLA,USC
930,20,48,0,17,13,2,0,13,,Cincinnati,Memphis
930,15,41,0,18,13,2,0,13,,Buffalo,Kent State
930,13,108,0,19,13,2,0,13,,Boston College,Virginia Tech
930,1,81,0,20,13,2,0,13,,Air Force,San Diego State
930,47,63,0,21,13,2,0,13,,Maryland,NC State
930,97,82,0,22,13,2,0,13,,Tulsa,San Jose State
930,24,62,0,23,13,2,0,13,,Duke,North Carolina
930,65,143,0,24,13,2,0,13,,UL Monroe,Troy
930,31,107,0,25,13,2,0,13,,Georgia Tech,Virginia
1080,60,115,0,26,13,2,0,13,,New Mexico,Wyoming
1080,23,101,0,27,13,2,0,13,,Colorado State,UNLV
1080,38,39,0,28,13,2,0,13,,Iowa State,Kansas
1080,14,10,0,29,13,2,0,13,,Bowling Green,Ball State
1080,112,88,0,30,13,2,0,13,,West Virginia,Syracuse
1080,55,6,0,31,13,2,0,13,,Mississippi State,Arkansas
1080,21,84,0,32,13,2,0,13,,Clemson,South Carolina
1080,53,7,0,33,13,2,0,13,,Mid Tenn State,Arkansas State
1080,50,69,0,34,13,2,0,13,,Miami University,Ohio
1080,25,96,0,35,13,2,0,13,,ECU,Tulane
1080,19,57,0,36,13,2,0,13,,Central Michigan,Navy
1200,103,16,0,37,13,2,0,13,,Utah,BYU
1200,113,95,0,38,13,2,0,13,,Western Michigan,Toledo
1200,71,94,0,39,13,2,0,13,,Oklahoma,Texas Tech
1200,37,114,0,40,13,2,0,13,,Iowa,Wisconsin
1200,78,36,0,41,13,2,0,13,,Purdue,Indiana
1200,33,44,0,42,13,2,0,13,,Houston,Louisville
1200,70,51,0,43,13,2,0,13,,Ohio State,Michigan
1200,17,87,0,44,13,2,0,13,,Cal,Stanford
1200,3,9,0,45,13,2,0,13,,Alabama,Auburn
1200,26,66,0,46,13,2,0,13,,Eastern Michigan,Northern Illinois
1200,45,73,0,47,13,2,0,13,,LSU,Ole Miss
1200,67,35,0,48,13,2,0,13,,Northwestern,Illinois
1170,64,61,0,49,13,5,0,13,,North Texas,New Mexico State
930,73,55,0,0,14,0,0,14,,Ole Miss,Mississippi State
930,85,25,0,1,14,0,0,14,,Southern Miss,ECU
750,95,14,0,2,14,1,0,14,,Toledo,Bowling Green
750,69,46,0,3,14,1,0,14,,Ohio,Marshall
750,50,18,0,4,14,1,0,14,,Miami University,UCF
930,92,93,0,5,14,1,0,14,,Texas,Texas A&M
750,108,107,0,6,14,2,0,14,,Virginia Tech,Virginia
750,79,43,0,7,14,2,0,14,,Rice,Louisiana Tech
750,89,83,0,8,14,2,0,14,,TCU,SMU
750,28,27,0,9,14,2,0,14,,Florida State,Florida
750,91,42,0,10,14,2,0,14,,Tennessee,Kentucky
750,3,32,0,11,14,2,0,14,,Alabama,Hawaii
750,101,115,0,12,14,2,0,14,,UNLV,Wyoming
930,88,80,0,13,14,2,0,14,,Syracuse,Rutgers
930,47,109,0,14,14,2,0,14,,Maryland,Wake Forest
930,29,105,0,15,14,2,0,14,,Fresno State,UTEP
930,144,48,0,16,14,2,0,14,,USF,Memphis
1080,68,87,0,17,14,2,0,14,,Notre Dame,Stanford
1080,6,45,0,18,14,2,0,14,,Arkansas,LSU
1080,58,22,0,19,14,2,0,14,,Nebraska,Colorado
1200,98,33,0,20,14,2,0,14,,UAB,Houston
1200,49,77,0,21,14,2,0,14,,Miami,Pittsburgh
1200,90,112,0,22,14,2,0,14,,Temple,West Virginia
1200,59,12,0,23,14,2,0,14,,Nevada,Boise State
1200,53,65,0,24,14,2,0,14,,Mid Tenn State,UL Monroe
1200,30,31,0,25,14,2,0,14,,Georgia,Georgia Tech
1200,44,20,0,26,14,2,0,14,,Louisville,Cincinnati
1200,86,104,0,27,14,2,0,14,,UL Lafayette,Utah State
930,57,8,0,0,15,2,0,15,,Navy,Army
1200,68,88,0,1,15,2,0,15,,Notre Dame,Syracuse
1410,12,32,0,2,15,2,0,15,,Boise State,Hawaii
750,45,93,1,0,0,2,0,0,,LSU,Texas A&M
750,32,58,1,1,0,2,0,0,,Hawaii,Nebraska
750,88,51,1,2,0,2,0,0,,Syracuse,Michigan
1200,79,71,1,3,0,2,0,0,,Rice,Oklahoma
1200,43,5,1,4,0,2,0,0,,Louisiana Tech,Arizona State
750,2,41,1,0,1,0,0,1,,Akron,Kent State
750,100,83,1,1,1,2,0,1,,Connecticut,SMU
750,52,15,1,2,1,2,0,1,,Michigan State,Buffalo
750,31,88,1,3,1,2,0,1,,Georgia Tech,Syracuse
750,86,66,1,4,1,2,0,1,,UL Lafayette,Northern Illinois
750,71,35,1,5,1,2,0,1,,Oklahoma,Illinois
750,61,112,1,6,1,2,0,1,,New Mexico State,West Virginia
750,63,93,1,7,1,2,0,1,,NC State,Texas A&M
750,60,109,1,8,1,2,0,1,,New Mexico,Wake Forest
750,10,143,1,9,1,2,0,1,,Ball State,Troy
750,42,44,1,10,1,2,0,1,,Kentucky,Louisville
750,115,53,1,11,1,2,0,1,,Wyoming,Mid Tenn State
750,92,14,1,12,1,2,0,1,,Texas,Bowling Green
750,19,7,1,13,1,2,0,1,,Central Michigan,Arkansas State
750,8,114,1,14,1,2,0,1,,Army,Wisconsin
750,77,21,1,15,1,2,0,1,,Pittsburgh,Clemson
930,51,3,1,16,1,2,0,1,,Michigan,Alabama
930,56,99,1,17,1,2,0,1,,Missouri,UCLA
930,101,40,1,18,1,2,0,1,,UNLV,Kansas State
930,106,73,1,19,1,2,0,1,,Vanderbilt,Ole Miss
930,58,72,1,20,1,2,0,1,,Nebraska,Oklahoma State
930,46,84,1,21,1,2,0,1,,Marshall,South Carolina
930,95,102,1,22,1,2,0,1,,Toledo,USC
930,27,87,1,23,1,2,0,1,,Florida,Stanford
930,85,1,1,24,1,2,0,1,,Southern Miss,Air Force
930,11,43,1,25,1,2,0,1,,Baylor,Louisiana Tech
930,47,97,1,26,1,2,0,1,,Maryland,Tulsa
1080,30,105,1,27,1,2,0,1,,Georgia,UTEP
1080,62,28,1,28,1,2,0,1,,North Carolina,Florida State
1080,13,144,1,29,1,2,0,1,,Boston College,USF
1080,65,38,1,30,1,2,0,1,,UL Monroe,Iowa State
1080,113,75,1,31,1,2,0,1,,Western Michigan,Oregon State
1080,74,78,1,32,1,2,0,1,,Oregon,Purdue
1080,110,98,1,33,1,2,0,1,,Washington,UAB
1080,29,90,1,34,1,2,0,1,,Fresno State,Temple
1080,34,12,1,35,1,2,0,1,,Idaho,Boise State
1080,33,79,1,36,1,2,0,1,,Houston,Rice
1080,26,64,1,37,1,2,0,1,,Eastern Michigan,North Texas
1080,103,104,1,38,1,2,0,1,,Utah,Utah State
1080,45,57,1,39,1,2,0,1,,LSU,Navy
1080,81,69,1,40,1,2,0,1,,San Diego State,Ohio
1200,39,111,1,41,1,2,0,1,,Kansas,Washington State
1200,36,68,1,42,1,2,0,1,,Indiana,Notre Dame
1200,91,59,1,43,1,2,0,1,,Tennessee,Nevada
1200,6,16,1,44,1,2,0,1,,Arkansas,BYU
1200,9,76,1,45,1,2,0,1,,Auburn,Penn State
1200,37,18,1,46,1,2,0,1,,Iowa,UCF
1200,23,22,1,47,1,2,0,1,,Colorado State,Colorado
1200,4,80,1,48,1,2,0,1,,Arizona,Rutgers
1200,107,24,1,49,1,2,0,1,,Virginia,Duke
1200,55,54,1,50,1,2,0,1,,Mississippi State,Minnesota
1200,32,5,1,51,1,2,0,1,,Hawaii,Arizona State
1200,49,70,1,52,1,2,0,1,,Miami,Ohio State
930,96,89,1,53,1,4,0,1,,Tulane,TCU
1080,20,25,1,54,1,4,0,1,,Cincinnati,ECU
750,98,85,1,0,2,0,0,2,,UAB,Southern Miss
750,15,80,1,1,2,2,0,2,,Buffalo,Rutgers
750,71,104,1,2,2,2,0,2,,Oklahoma,Utah State
750,17,8,1,3,2,2,0,2,,Cal,Army
750,7,73,1,4,2,2,0,2,,Arkansas State,Ole Miss
750,84,67,1,5,2,2,0,2,,South Carolina,Northwestern
750,78,68,1,6,2,2,0,2,,Purdue,Notre Dame
750,69,58,1,7,2,2,0,2,,Ohio,Nebraska
750,91,19,1,8,2,2,0,2,,Tennessee,Central Michigan
750,32,4,1,9,2,2,0,2,,Hawaii,Arizona
750,117,9,1,10,2,2,0,2,,Alabama State,Auburn
750,11,30,1,11,2,2,0,2,,Baylor,Georgia
750,53,100,1,12,2,2,0,2,,Mid Tenn State,Connecticut
750,115,102,1,13,2,2,0,2,,Wyoming,USC
750,31,95,1,14,2,2,0,2,,Georgia Tech,Toledo
750,36,42,1,15,2,2,0,2,,Indiana,Kentucky
750,101,54,1,16,2,2,0,2,,UNLV,Minnesota
750,61,57,1,17,2,2,0,2,,New Mexico State,Navy
750,82,49,1,18,2,2,0,2,,San Jose State,Miami
930,103,87,1,19,2,2,0,2,,Utah,Stanford
930,94,55,1,20,2,2,0,2,,Texas Tech,Mississippi State
930,89,79,1,21,2,2,0,2,,TCU,Rice
930,3,105,1,22,2,2,0,2,,Alabama,UTEP
930,38,50,1,23,2,2,0,2,,Iowa State,Miami University
930,56,143,1,24,2,2,0,2,,Missouri,Troy
930,111,34,1,25,2,2,0,2,,Washington State,Idaho
930,29,24,1,26,2,2,0,2,,Fresno State,Duke
930,110,25,1,27,2,2,0,2,,Washington,ECU
930,37,39,1,28,2,2,0,2,,Iowa,Kansas
930,144,35,1,29,2,2,0,2,,USF,Illinois
930,70,2,1,30,2,2,0,2,,Ohio State,Akron
930,23,33,1,31,2,2,0,2,,Colorado State,Houston
1080,28,47,1,32,2,2,0,2,,Florida State,Maryland
1080,65,18,1,33,2,2,0,2,,UL Monroe,UCF
1080,83,6,1,34,2,2,0,2,,SMU,Arkansas
1080,52,99,1,35,2,2,0,2,,Michigan State,UCLA
1080,109,63,1,36,2,2,0,2,,Wake Forest,NC State
1080,13,96,1,37,2,2,0,2,,Boston College,Tulane
1080,107,40,1,38,2,2,0,2,,Virginia,Kansas State
1080,22,41,1,39,2,2,0,2,,Colorado,Kent State
1080,10,75,1,40,2,2,0,2,,Ball State,Oregon State
1080,66,51,1,41,2,2,0,2,,Northern Illinois,Michigan
1080,77,92,1,42,2,2,0,2,,Pittsburgh,Texas
1080,1,27,1,43,2,2,0,2,,Air Force,Florida
1200,72,90,1,44,2,2,0,2,,Oklahoma State,Temple
1200,62,108,1,45,2,2,0,2,,North Carolina,Virginia Tech
1200,93,112,1,46,2,2,0,2,,Texas A&M,West Virginia
1200,86,12,1,47,2,2,0,2,,UL Lafayette,Boise State
1200,16,45,1,48,2,2,0,2,,BYU,LSU
1200,43,48,1,49,2,2,0,2,,Louisiana Tech,Memphis
1200,106,64,1,50,2,2,0,2,,Vanderbilt,North Texas
1200,97,81,1,51,2,2,0,2,,Tulsa,San Diego State
1200,5,20,1,52,2,2,0,2,,Arizona State,Cincinnati
1200,46,60,1,53,2,2,0,2,,Marshall,New Mexico
1200,26,74,1,54,2,2,0,2,,Eastern Michigan,Oregon
1200,88,76,1,55,2,2,0,2,,Syracuse,Penn State
930,46,95,1,0,3,1,0,3,,Marshall,Toledo
750,14,75,1,1,3,2,0,3,,Bowling Green,Oregon State
750,66,72,1,2,3,2,0,3,,Northern Illinois,Oklahoma State
750,110,58,1,3,3,2,0,3,,Washington,Nebraska
750,2,26,1,4,3,2,0,3,,Akron,Eastern Michigan
750,83,89,1,5,3,2,0,3,,SMU,TCU
750,77,52,1,6,3,2,0,3,,Pittsburgh,Michigan State
750,51,13,1,7,3,2,0,3,,Michigan,Boston College
750,70,86,1,8,3,2,0,3,,Ohio State,UL Lafayette
750,41,65,1,9,3,2,0,3,,Kent State,UL Monroe
750,85,48,1,10,3,2,0,3,,Southern Miss,Memphis
750,99,23,1,11,3,2,0,3,,UCLA,Colorado State
930,98,47,1,12,3,2,0,3,,UAB,Maryland
930,96,5,1,13,3,2,0,3,,Tulane,Arizona State
930,105,144,1,14,3,2,0,3,,UTEP,USF
930,50,76,1,15,3,2,0,3,,Miami University,Penn State
930,15,100,1,16,3,2,0,3,,Buffalo,Connecticut
930,3,42,1,17,3,2,0,3,,Alabama,Kentucky
930,59,10,1,18,3,2,0,3,,Nevada,Ball State
930,43,94,1,19,3,2,0,3,,Louisiana Tech,Texas Tech
930,79,1,1,20,3,2,0,3,,Rice,Air Force
930,7,6,1,21,3,2,0,3,,Arkansas State,Arkansas
930,68,101,1,22,3,2,0,3,,Notre Dame,UNLV
930,54,29,1,23,3,2,0,3,,Minnesota,Fresno State
930,113,111,1,24,3,2,0,3,,Western Michigan,Washington State
930,17,22,1,25,3,2,0,3,,Cal,Colorado
930,38,37,1,26,3,2,0,3,,Iowa State,Iowa
930,55,57,1,27,3,2,0,3,,Mississippi State,Navy
930,104,80,1,28,3,2,0,3,,Utah State,Rutgers
1080,18,81,1,29,3,2,0,3,,UCF,San Diego State
1080,114,73,1,30,3,2,0,3,,Wisconsin,Ole Miss
1080,106,9,1,31,3,2,0,3,,Vanderbilt,Auburn
1080,78,88,1,32,3,2,0,3,,Purdue,Syracuse
1080,32,19,1,33,3,2,0,3,,Hawaii,Central Michigan
1080,71,36,1,34,3,2,0,3,,Oklahoma,Indiana
1080,40,35,1,35,3,2,0,3,,Kansas State,Illinois
1080,21,11,1,36,3,2,0,3,,Clemson,Baylor
1080,103,67,1,37,3,2,0,3,,Utah,Northwestern
1080,97,93,1,38,3,2,0,3,,Tulsa,Texas A&M
1080,109,91,1,39,3,2,0,3,,Wake Forest,Tennessee
1080,61,102,1,40,3,2,0,3,,New Mexico State,USC
1080,28,31,1,41,3,2,0,3,,Florida State,Georgia Tech
1200,25,108,1,42,3,2,0,3,,ECU,Virginia Tech
1200,115,90,1,43,3,2,0,3,,Wyoming,Temple
1200,12,49,1,44,3,2,0,3,,Boise State,Miami
1200,34,82,1,45,3,2,0,3,,Idaho,San Jose State
1200,63,44,1,46,3,2,0,3,,NC State,Louisville
1200,143,62,1,47,3,2,0,3,,Troy,North Carolina
1200,112,27,1,48,3,2,0,3,,West Virginia,Florida
1200,60,16,1,49,3,2,0,3,,New Mexico,BYU
1200,87,64,1,50,3,2,0,3,,Stanford,North Texas
